50
1, 18, 9
1, 28, 8
1, 36, 5
2, 6, 2
2, 47, 8
3, 32, 2
3, 40, 5
4, 31, 7
5, 38, 10
6, 36, 8
7, 4, 7
8, 48, 10
9, 5, 8
9, 39, 6
10, 24, 7
10, 33, 2
11, 2, 6
11, 34, 6
12, 37, 9
13, 8, 3
14, 42, 8
15, 9, 8
16, 11, 1
17, 22, 8
17, 23, 8
18, 49, 7
19, 12, 2
19, 37, 9
20, 3, 4
21, 6, 7
21, 23, 8
22, 43, 7
23, 37, 5
23, 40, 4
24, 26, 4
25, 14, 7
25, 18, 10
26, 13, 10
27, 45, 1
27, 50, 9
28, 21, 8
28, 44, 7
29, 6, 5
29, 35, 6
29, 50, 3
30, 46, 4
31, 14, 7
31, 29, 9
32, 2, 1
33, 27, 2
33, 36, 10
34, 5, 7
35, 20, 4
35, 21, 1
36, 41, 3
37, 10, 7
38, 30, 6
38, 36, 1
39, 25, 5
40, 47, 10
41, 19, 8
41, 37, 2
41, 42, 10
42, 33, 8
43, 15, 10
43, 35, 6
44, 7, 4
44, 9, 3
45, 21, 6
46, 17, 6
47, 10, 5
47, 16, 3
47, 45, 10
48, 23, 1
48, 50, 4
49, 29, 4
